"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortPeelRiver","67.43","-135",NA,"America/Inuvik","7","71052","2201601"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","cv","dd","hd","pr","ptb","pte","sd","ta","w"
1863-02-11 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,-25.56,NA
1863-02-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-11 21:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,-26.67,NA
1863-02-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,2
1863-02-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-12 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,-26.11,NA
1863-02-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,2
1863-02-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-12 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,-25,NA
1863-02-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,2
1863-02-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-12 21:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,-25.56,NA
1863-02-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-13,NA,NA,NA,NA,"8 am",NA,NA,NA,NA
1863-02-13,NA,NA,NA,NA,NA,"4 pm",NA,NA,NA
1863-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-13,NA,NA,NA,0.317,NA,NA,3.17,NA,NA
1863-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-13 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,-23.33,NA
1863-02-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-13 14:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,-20.56,NA
1863-02-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-13 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,-31.11,NA
1863-02-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-14 07:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,-37.22,NA
1863-02-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-14 14:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,-31.67,NA
1863-02-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,-40,NA
1863-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-15 07:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,-42.78,NA
1863-02-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,2
1863-02-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-15 14:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,-37.22,NA
1863-02-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,2
1863-02-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-15 21:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA
1863-02-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,-42.22,NA
1863-02-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
