"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Clifton","43.12","-79.07",NA,"America/Toronto","5","71171","6135638"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","ta","ta_mean","Tx","ww"
1868-03-31 14:00:00,NA,NA,NA,",SKC NA"
1868-03-31 21:00:00,11.11,NA,NA,NA
1868-03-31 21:00:00,NA,NA,NA,",SKC NA"
1868-04-01,NA,12.78,NA,NA
1868-04-01,NA,NA,NA,NA
1868-04-01 07:00:00,10,NA,NA,NA
1868-04-01 07:00:00,NA,NA,NA,",BKN NA"
1868-04-01 14:00:00,18.33,NA,NA,NA
1868-04-01 14:00:00,NA,NA,NA,",BKN NA"
1868-04-01 21:00:00,11.11,NA,NA,NA
1868-04-01 21:00:00,NA,NA,NA,",BKN NA"
1868-04-02,NA,2.22,NA,NA
1868-04-02,NA,NA,NA,NA
1868-04-02,NA,NA,NA,NA
1868-04-02 07:00:00,3.33,NA,NA,NA
1868-04-02 07:00:00,NA,NA,NA,",OVC NA"
1868-04-02 14:00:00,3.33,NA,NA,NA
1868-04-02 14:00:00,NA,NA,NA,",SN NA"
1868-04-02 21:00:00,0,NA,NA,NA
1868-04-02 21:00:00,NA,NA,NA,",OVC NA"
1868-04-03,NA,4.44,NA,NA
1868-04-03,NA,NA,NA,NA
1868-04-03 07:00:00,0,NA,NA,NA
1868-04-03 07:00:00,NA,NA,NA,",SKC NA"
1868-04-03 14:00:00,8.89,NA,NA,NA
1868-04-03 14:00:00,NA,NA,NA,",BKN NA"
1868-04-03 21:00:00,4.44,NA,NA,NA
1868-04-03 21:00:00,NA,NA,NA,",OVC NA"
1868-04-04,NA,2.78,NA,NA
1868-04-04,NA,NA,NA,NA
1868-04-04 07:00:00,1.11,NA,NA,NA
1868-04-04 07:00:00,NA,NA,NA,",BKN NA"
1868-04-04 14:00:00,8.89,NA,NA,NA
1868-04-04 14:00:00,NA,NA,NA,",SN NA"
1868-04-04 21:00:00,-1.11,NA,NA,NA
1868-04-04 21:00:00,NA,NA,NA,",SN NA"
1868-04-05,NA,-2.78,NA,NA
1868-04-05,NA,NA,NA,NA
1868-04-05 07:00:00,-3.33,NA,NA,NA
1868-04-05 07:00:00,NA,NA,NA,",SN NA"
1868-04-05 14:00:00,1.11,NA,NA,NA
1868-04-05 14:00:00,NA,NA,NA,",SN NA"
1868-04-05 21:00:00,-5.56,NA,NA,NA
1868-04-05 21:00:00,NA,NA,NA,",SKC NA"
1868-04-06,NA,-1.11,NA,NA
1868-04-06,NA,NA,NA,NA
1868-04-06 07:00:00,-4.44,NA,NA,NA
1868-04-06 07:00:00,NA,NA,NA,",SKC NA"
1868-04-06 14:00:00,2.22,NA,NA,NA
1868-04-06 14:00:00,NA,NA,NA,",BKN NA"
1868-04-06 21:00:00,0,NA,NA,NA
1868-04-06 21:00:00,NA,NA,NA,",OVC NA"
1868-04-07,NA,0.56,NA,NA
1868-04-07,NA,NA,NA,NA
1868-04-07 07:00:00,1.11,NA,NA,NA
1868-04-07 07:00:00,NA,NA,NA,",SN NA"
1868-04-07 14:00:00,1.11,NA,NA,NA
1868-04-07 14:00:00,NA,NA,NA,",OVC NA"
1868-04-07 21:00:00,0,NA,NA,NA
1868-04-07 21:00:00,NA,NA,NA,",SKC NA"
1868-04-08,NA,-3.33,NA,NA
1868-04-08,NA,NA,NA,NA
1868-04-08 07:00:00,0,NA,NA,NA
1868-04-08 07:00:00,NA,NA,NA,",OVC NA"
1868-04-08 14:00:00,-3.33,NA,NA,NA
1868-04-08 14:00:00,NA,NA,NA,",SN NA"
1868-04-08 21:00:00,-5.56,NA,NA,NA
1868-04-08 21:00:00,NA,NA,NA,",OVC NA"
1868-04-09,NA,-3.33,NA,NA
1868-04-09,NA,NA,NA,NA
1868-04-09 07:00:00,-5.56,NA,NA,NA
1868-04-09 07:00:00,NA,NA,NA,",SKC NA"
1868-04-09 14:00:00,0,NA,NA,NA
1868-04-09 14:00:00,NA,NA,NA,",SKC NA"
1868-04-09 21:00:00,-3.33,NA,NA,NA
1868-04-09 21:00:00,NA,NA,NA,",BKN NA"
1868-04-10,NA,-0.56,NA,NA
1868-04-10,NA,NA,NA,NA
1868-04-10 07:00:00,-2.22,NA,NA,NA
1868-04-10 07:00:00,NA,NA,NA,",SN NA"
1868-04-10 14:00:00,2.22,NA,NA,NA
1868-04-10 14:00:00,NA,NA,NA,",OVC NA"
1868-04-10 21:00:00,-1.11,NA,NA,NA
1868-04-10 21:00:00,NA,NA,NA,",OVC NA"
1868-04-11,NA,2.22,NA,NA
1868-04-11,NA,NA,NA,NA
1868-04-11 07:00:00,1.11,NA,NA,NA
1868-04-11 07:00:00,NA,NA,NA,",SKC NA"
1868-04-11 14:00:00,5,NA,NA,NA
1868-04-11 14:00:00,NA,NA,NA,",RA NA"
1868-04-11 21:00:00,1.11,NA,NA,NA
1868-04-11 21:00:00,NA,NA,NA,",RA NA"
1868-04-12,NA,-1.11,NA,NA
1868-04-12,NA,NA,NA,NA
1868-04-12 07:00:00,-5.56,NA,NA,NA
1868-04-12 07:00:00,NA,NA,NA,",OVC NA"
1868-04-12 14:00:00,2.22,NA,NA,NA
1868-04-12 14:00:00,NA,NA,NA,",BKN NA"
1868-04-12 21:00:00,1.11,NA,NA,NA
1868-04-12 21:00:00,NA,NA,NA,",SKC NA"
1868-04-13,NA,1.67,NA,NA
1868-04-13,NA,NA,NA,NA
1868-04-13 07:00:00,1.11,NA,NA,NA
1868-04-13 07:00:00,NA,NA,NA,",SKC NA"
