	TranscriptionID: 1397 Invalid data: illegible on 1862-04-04 	Field: 85 - Pressure_7AM
	TranscriptionID: 1427 Invalid data: The sun rose red on 1861-10-20  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: the sun rose red on 1861-10-22  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: the Aur.Bor. very bright on 1861-10-25  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: The sun was very red on 1861-10-26  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: The sun set red on 1861-10-27  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: The sun rose red on 1861-10-28  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: The Aur. Bor. very bright on 1861-10-30  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The sun rose red on 1861-11-01  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The Aur.Bor. very bright on 1861-11-02  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The Aur Bor very bright on 1861-11-03  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The Aur Bor very bright on 1861-11-04  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: Aur. Bor. very bright on 1861-11-18  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: the sun rose red on 1861-11-19  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The sun set red on 1861-11-20  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The Aur. Bor very bright from E to W on 1861-11-21  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The Aur Bor very bright from E to W on 1861-11-22  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The Aur Bor on 1861-11-23  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The Aur. Bor E to W low + SE to NW very bright on 1861-11-25  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The Aur Bor on 1861-11-26  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The Aur Bor on 1861-11-28  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: Ice floating about for the first time on 1861-11-29  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1428 Invalid data: The sun rose red on 1861-11-30  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: The Aur Bor faint on 1861-12-02  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: The sun set red on 1861-12-03  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: The sun set red on 1861-12-04  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: The Aur. Bor bright on 1861-12-05  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: the sun set red on 1861-12-06  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: The sun set red on 1861-12-10  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: the Aur. Bor. bright on 1861-12-12  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1429 Invalid data: Aur. Bor. bright on 1861-12-17  Hour:0	Field: 155 - Casual_Phenomena
