"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"LittleWhaleRiver","56.03","-76.75","3.6","America/Montreal","5","71615","7103539"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","pr","ta","Tn","w"
1861-11-10 21:00:00,180,NA,NA,NA,NA
1861-11-10 21:00:00,NA,0,NA,NA,NA
1861-11-10 21:00:00,NA,NA,-3.33,NA,NA
1861-11-10 21:00:00,NA,NA,NA,NA,0
1861-11-11,NA,NA,NA,NA,NA
1861-11-11,NA,NA,NA,-5,NA
1861-11-11,NA,NA,NA,NA,NA
1861-11-11 07:00:00,180,NA,NA,NA,NA
1861-11-11 07:00:00,NA,0,NA,NA,NA
1861-11-11 07:00:00,NA,NA,-4.44,NA,NA
1861-11-11 07:00:00,NA,NA,NA,NA,0
1861-11-11 14:00:00,180,NA,NA,NA,NA
1861-11-11 14:00:00,NA,0,NA,NA,NA
1861-11-11 14:00:00,NA,NA,-2.22,NA,NA
1861-11-11 14:00:00,NA,NA,NA,NA,0
1861-11-11 21:00:00,180,NA,NA,NA,NA
1861-11-11 21:00:00,NA,NA,NA,NA,NA
1861-11-11 21:00:00,NA,NA,-3.89,NA,NA
1861-11-11 21:00:00,NA,NA,NA,NA,0
1861-11-12,NA,NA,NA,NA,NA
1861-11-12,NA,NA,NA,-6.11,NA
1861-11-12,NA,NA,NA,NA,NA
1861-11-12 07:00:00,180,NA,NA,NA,NA
1861-11-12 07:00:00,NA,0,NA,NA,NA
1861-11-12 07:00:00,NA,NA,-1.67,NA,NA
1861-11-12 07:00:00,NA,NA,NA,NA,0
1861-11-12 14:00:00,315,NA,NA,NA,NA
1861-11-12 14:00:00,NA,0,NA,NA,NA
1861-11-12 14:00:00,NA,NA,-0.56,NA,NA
1861-11-12 14:00:00,NA,NA,NA,NA,0
1861-11-12 21:00:00,270,NA,NA,NA,NA
1861-11-12 21:00:00,NA,0,NA,NA,NA
1861-11-12 21:00:00,NA,NA,-1.67,NA,NA
1861-11-12 21:00:00,NA,NA,NA,NA,0
1861-11-13,NA,NA,NA,NA,NA
1861-11-13,NA,NA,NA,-7.78,NA
1861-11-13,NA,NA,NA,NA,NA
1861-11-13 07:00:00,180,NA,NA,NA,NA
1861-11-13 07:00:00,NA,0,NA,NA,NA
1861-11-13 07:00:00,NA,NA,-5.56,NA,NA
1861-11-13 07:00:00,NA,NA,NA,NA,0
1861-11-13 14:00:00,135,NA,NA,NA,NA
1861-11-13 14:00:00,NA,NA,NA,NA,NA
1861-11-13 14:00:00,NA,NA,-3.89,NA,NA
1861-11-13 14:00:00,NA,NA,NA,NA,0
1861-11-13 21:00:00,180,NA,NA,NA,NA
1861-11-13 21:00:00,NA,0,NA,NA,NA
1861-11-13 21:00:00,NA,NA,-6.11,NA,NA
1861-11-13 21:00:00,NA,NA,NA,NA,0
1861-11-14,NA,NA,NA,NA,NA
1861-11-14,NA,NA,NA,-11.11,NA
1861-11-14,NA,NA,NA,NA,NA
1861-11-14 07:00:00,0,NA,NA,NA,NA
1861-11-14 07:00:00,NA,0,NA,NA,NA
1861-11-14 07:00:00,NA,NA,-3.89,NA,NA
1861-11-14 07:00:00,NA,NA,NA,NA,0
1861-11-14 14:00:00,0,NA,NA,NA,NA
1861-11-14 14:00:00,NA,0,NA,NA,NA
1861-11-14 14:00:00,NA,NA,-1.11,NA,NA
1861-11-14 14:00:00,NA,NA,NA,NA,0
1861-11-14 21:00:00,0,NA,NA,NA,NA
1861-11-14 21:00:00,NA,NA,NA,NA,NA
1861-11-14 21:00:00,NA,NA,-3.89,NA,NA
1861-11-14 21:00:00,NA,NA,NA,NA,0
1861-11-15,NA,NA,NA,NA,NA
1861-11-15,NA,NA,NA,-6.11,NA
1861-11-15,NA,NA,NA,NA,NA
1861-11-15 07:00:00,135,NA,NA,NA,NA
1861-11-15 07:00:00,NA,0,NA,NA,NA
1861-11-15 07:00:00,NA,NA,-3.89,NA,NA
1861-11-15 07:00:00,NA,NA,NA,NA,0
1861-11-15 14:00:00,135,NA,NA,NA,NA
1861-11-15 14:00:00,NA,0,NA,NA,NA
1861-11-15 14:00:00,NA,NA,1.67,NA,NA
1861-11-15 14:00:00,NA,NA,NA,NA,0
1861-11-15 21:00:00,135,NA,NA,NA,NA
1861-11-15 21:00:00,NA,0,NA,NA,NA
1861-11-15 21:00:00,NA,NA,-2.22,NA,NA
1861-11-15 21:00:00,NA,NA,NA,NA,0
1861-11-16,NA,NA,NA,NA,NA
1861-11-16,NA,NA,NA,-7.78,NA
1861-11-16,NA,NA,NA,NA,NA
1861-11-16 07:00:00,135,NA,NA,NA,NA
1861-11-16 07:00:00,NA,0,NA,NA,NA
1861-11-16 07:00:00,NA,NA,-5,NA,NA
1861-11-16 07:00:00,NA,NA,NA,NA,0
1861-11-16 14:00:00,180,NA,NA,NA,NA
1861-11-16 14:00:00,NA,NA,NA,NA,NA
1861-11-16 14:00:00,NA,NA,-3.33,NA,NA
1861-11-16 14:00:00,NA,NA,NA,NA,0
1861-11-16 21:00:00,135,NA,NA,NA,NA
1861-11-16 21:00:00,NA,0,NA,NA,NA
1861-11-16 21:00:00,NA,NA,-6.67,NA,NA
1861-11-16 21:00:00,NA,NA,NA,NA,0
1861-11-17,NA,NA,NA,NA,NA
1861-11-17,NA,NA,NA,-14.44,NA
1861-11-17,NA,NA,NA,NA,NA
1861-11-17 07:00:00,135,NA,NA,NA,NA
1861-11-17 07:00:00,NA,0,NA,NA,NA
1861-11-17 07:00:00,NA,NA,-12.78,NA,NA
1861-11-17 07:00:00,NA,NA,NA,NA,0
1861-11-17 14:00:00,NA,NA,NA,NA,NA
1861-11-17 14:00:00,NA,0,NA,NA,NA
1861-11-17 14:00:00,NA,NA,-7.78,NA,NA
1861-11-17 14:00:00,NA,NA,NA,NA,NA
1861-11-17 21:00:00,135,NA,NA,NA,NA
1861-11-17 21:00:00,NA,NA,NA,NA,NA
1861-11-17 21:00:00,NA,NA,-8.33,NA,NA
1861-11-17 21:00:00,NA,NA,NA,NA,0
1861-11-18,NA,NA,NA,NA,NA
1861-11-18,NA,NA,NA,-11.67,NA
1861-11-18,NA,NA,NA,NA,NA
1861-11-18 07:00:00,315,NA,NA,NA,NA
1861-11-18 07:00:00,NA,0,NA,NA,NA
1861-11-18 07:00:00,NA,NA,-2.78,NA,NA
1861-11-18 07:00:00,NA,NA,NA,NA,0
1861-11-18 14:00:00,315,NA,NA,NA,NA
1861-11-18 14:00:00,NA,NA,NA,NA,NA
1861-11-18 14:00:00,NA,NA,-1.11,NA,NA
1861-11-18 14:00:00,NA,NA,NA,NA,0
1861-11-18 21:00:00,315,NA,NA,NA,NA
1861-11-18 21:00:00,NA,0,NA,NA,NA
1861-11-18 21:00:00,NA,NA,-3.33,NA,NA
1861-11-18 21:00:00,NA,NA,NA,NA,0
1861-11-19,NA,NA,NA,NA,NA
1861-11-19,NA,NA,NA,-10.56,NA
1861-11-19,NA,NA,NA,NA,NA
1861-11-19 07:00:00,270,NA,NA,NA,NA
1861-11-19 07:00:00,NA,0,NA,NA,NA
1861-11-19 07:00:00,NA,NA,-3.33,NA,NA
1861-11-19 07:00:00,NA,NA,NA,NA,0
1861-11-19 14:00:00,180,NA,NA,NA,NA
1861-11-19 14:00:00,NA,0,NA,NA,NA
1861-11-19 14:00:00,NA,NA,-8.33,NA,NA
1861-11-19 14:00:00,NA,NA,NA,NA,0
1861-11-19 21:00:00,135,NA,NA,NA,NA
1861-11-19 21:00:00,NA,0,NA,NA,NA
1861-11-19 21:00:00,NA,NA,-10.56,NA,NA
1861-11-19 21:00:00,NA,NA,NA,NA,0
1861-11-20,NA,NA,NA,NA,NA
1861-11-20,NA,NA,NA,-16.11,NA
1861-11-20,NA,NA,NA,NA,NA
1861-11-20 07:00:00,135,NA,NA,NA,NA
1861-11-20 07:00:00,NA,NA,NA,NA,NA
1861-11-20 07:00:00,NA,NA,-10.56,NA,NA
1861-11-20 07:00:00,NA,NA,NA,NA,0
1861-11-20 14:00:00,135,NA,NA,NA,NA
1861-11-20 14:00:00,NA,NA,NA,NA,NA
1861-11-20 14:00:00,NA,NA,-3.33,NA,NA
1861-11-20 14:00:00,NA,NA,NA,NA,0
1861-11-20 21:00:00,135,NA,NA,NA,NA
1861-11-20 21:00:00,NA,NA,NA,NA,NA
1861-11-20 21:00:00,NA,NA,-5.56,NA,NA
1861-11-20 21:00:00,NA,NA,NA,NA,0
1861-11-21,NA,NA,NA,NA,NA
1861-11-21,NA,NA,NA,-12.78,NA
1861-11-21,NA,NA,NA,NA,NA
1861-11-21 07:00:00,135,NA,NA,NA,NA
1861-11-21 07:00:00,NA,0,NA,NA,NA
1861-11-21 07:00:00,NA,NA,-8.33,NA,NA
