"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Hatley","45.3","-71.95","250","America/Montreal","5","71611","7025660"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","pr","ta","ww"
1836-03-06 21:00:00,NA,NA,NA,",SKC NA"
1836-03-07,NA,0,NA,NA
1836-03-07,NA,NA,NA,NA
1836-03-07 06:00:00,225,NA,NA,NA
1836-03-07 06:00:00,NA,NA,-8.33,NA
1836-03-07 06:00:00,NA,NA,NA,",SN NA"
1836-03-07 14:00:00,225,NA,NA,NA
1836-03-07 14:00:00,NA,NA,-7.22,NA
1836-03-07 14:00:00,NA,NA,NA,NA
1836-03-07 21:00:00,270,NA,NA,NA
1836-03-07 21:00:00,NA,NA,-13.33,NA
1836-03-07 21:00:00,NA,NA,NA,",SKC NA"
1836-03-08,NA,1.27,NA,NA
1836-03-08,NA,NA,NA,NA
1836-03-08 06:00:00,180,NA,NA,NA
1836-03-08 06:00:00,NA,NA,-12.22,NA
1836-03-08 06:00:00,NA,NA,NA,",SKC NA"
1836-03-08 14:00:00,180,NA,NA,NA
1836-03-08 14:00:00,NA,NA,-6.67,NA
1836-03-08 14:00:00,NA,NA,NA,",SKC NA"
1836-03-08 21:00:00,180,NA,NA,NA
1836-03-08 21:00:00,NA,NA,-10.56,NA
1836-03-08 21:00:00,NA,NA,NA,",SKC NA"
1836-03-09,NA,0,NA,NA
1836-03-09,NA,NA,NA,NA
1836-03-09 06:00:00,180,NA,NA,NA
1836-03-09 06:00:00,NA,NA,-12.22,NA
1836-03-09 06:00:00,NA,NA,NA,",SKC NA"
1836-03-09 14:00:00,180,NA,NA,NA
1836-03-09 14:00:00,NA,NA,2.78,NA
1836-03-09 14:00:00,NA,NA,NA,NA
1836-03-09 21:00:00,180,NA,NA,NA
1836-03-09 21:00:00,NA,NA,-2.22,NA
1836-03-09 21:00:00,NA,NA,NA,NA
1836-03-10,NA,0,NA,NA
1836-03-10,NA,NA,NA,NA
1836-03-10 06:00:00,180,NA,NA,NA
1836-03-10 06:00:00,NA,NA,1.11,NA
1836-03-10 06:00:00,NA,NA,NA,",BKN NA"
1836-03-10 14:00:00,180,NA,NA,NA
1836-03-10 14:00:00,NA,NA,4.44,NA
1836-03-10 14:00:00,NA,NA,NA,",BKN NA"
1836-03-10 21:00:00,180,NA,NA,NA
1836-03-10 21:00:00,NA,NA,3.33,NA
1836-03-10 21:00:00,NA,NA,NA,",RA NA"
1836-03-11,NA,0,NA,NA
1836-03-11,NA,NA,NA,NA
1836-03-11 06:00:00,180,NA,NA,NA
1836-03-11 06:00:00,NA,NA,3.89,NA
1836-03-11 06:00:00,NA,NA,NA,",BKN NA"
1836-03-11 14:00:00,270,NA,NA,NA
1836-03-11 14:00:00,NA,NA,-3.89,NA
1836-03-11 14:00:00,NA,NA,NA,NA
1836-03-11 21:00:00,270,NA,NA,NA
1836-03-11 21:00:00,NA,NA,-11.67,NA
1836-03-11 21:00:00,NA,NA,NA,",SKC NA"
1836-03-12,NA,0,NA,NA
1836-03-12,NA,NA,NA,NA
1836-03-12 06:00:00,315,NA,NA,NA
1836-03-12 06:00:00,NA,NA,-17.78,NA
1836-03-12 06:00:00,NA,NA,NA,",SKC NA"
1836-03-12 14:00:00,315,NA,NA,NA
1836-03-12 14:00:00,NA,NA,-10.56,NA
1836-03-12 14:00:00,NA,NA,NA,",SKC NA"
1836-03-12 21:00:00,0,NA,NA,NA
1836-03-12 21:00:00,NA,NA,-16.67,NA
1836-03-12 21:00:00,NA,NA,NA,",SKC NA"
1836-03-13,NA,0,NA,NA
1836-03-13,NA,NA,NA,NA
1836-03-13 06:00:00,0,NA,NA,NA
1836-03-13 06:00:00,NA,NA,-18.89,NA
1836-03-13 06:00:00,NA,NA,NA,",SKC NA"
1836-03-13 14:00:00,180,NA,NA,NA
1836-03-13 14:00:00,NA,NA,-3.33,NA
1836-03-13 14:00:00,NA,NA,NA,",BKN NA"
1836-03-13 21:00:00,180,NA,NA,NA
1836-03-13 21:00:00,NA,NA,-6.67,NA
1836-03-13 21:00:00,NA,NA,NA,",BKN NA"
1836-03-14,NA,0,NA,NA
1836-03-14,NA,NA,NA,NA
1836-03-14 06:00:00,180,NA,NA,NA
1836-03-14 06:00:00,NA,NA,-5,NA
1836-03-14 06:00:00,NA,NA,NA,",BKN NA"
1836-03-14 14:00:00,180,NA,NA,NA
1836-03-14 14:00:00,NA,NA,-3.89,NA
1836-03-14 14:00:00,NA,NA,NA,",BKN NA"
1836-03-14 21:00:00,180,NA,NA,NA
1836-03-14 21:00:00,NA,NA,-7.78,NA
1836-03-14 21:00:00,NA,NA,NA,",SN NA"
1836-03-15,NA,0,NA,NA
1836-03-15,NA,NA,NA,NA
1836-03-15 06:00:00,270,NA,NA,NA
1836-03-15 06:00:00,NA,NA,-13.89,NA
1836-03-15 06:00:00,NA,NA,NA,",BKN NA"
