"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"MooseFactory","51.24","-80.76","9","America/Toronto","5","71836","6075425"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","p","pr","ptb","pte","sd","ta","ta_mean","tb","Tn","w","ww"
1861-01-04 21:00:00,21.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-04 21:00:00,NA,292.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-04 21:00:00,NA,NA,1005.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,-17.22,NA,NA,NA,NA,NA
1861-01-04 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA snow"
1861-01-05,NA,NA,NA,NA,NA,NA,NA,NA,-22.96,NA,NA,NA,NA
1861-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.44,NA,NA
1861-01-05 07:00:00,-4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 07:00:00,NA,247.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 07:00:00,NA,NA,1007.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,-22.78,NA,NA,NA,NA,NA
1861-01-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-01-05 14:00:00,17.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 14:00:00,NA,337.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 14:00:00,NA,NA,1011.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,-18.33,NA,NA,NA,NA,NA
1861-01-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-01-05 21:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 21:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 21:00:00,NA,NA,1022.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,-27.78,NA,NA,NA,NA,NA
1861-01-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-06,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA empty"
