"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"CoalHarbour","49.3","-123.1","18","America/Vancouver","8","71201","1108446"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta","w"
1884-01-24,NA,NA,NA
1884-01-24 06:00:00,NA,0.6,NA
1884-01-24 07:00:00,NA,0.6,NA
1884-01-24 08:00:00,NA,1.1,NA
1884-01-24 09:00:00,NA,1.7,NA
1884-01-24 10:00:00,NA,2.2,NA
1884-01-24 11:00:00,NA,2.8,NA
1884-01-24 12:00:00,NA,3.3,NA
1884-01-24 13:00:00,NA,3.3,NA
1884-01-24 14:00:00,NA,3.9,NA
1884-01-24 15:00:00,NA,3.9,NA
1884-01-24 16:00:00,NA,3.3,NA
1884-01-24 17:00:00,NA,3.3,NA
1884-01-24 18:00:00,NA,2.8,NA
1884-01-24 19:00:00,NA,-999.9,NA
1884-01-25,NA,NA,NA
1884-01-25 06:00:00,NA,1.1,NA
1884-01-25 07:00:00,NA,1.7,NA
1884-01-25 08:00:00,NA,1.7,NA
1884-01-25 09:00:00,NA,2.2,NA
1884-01-25 10:00:00,NA,3.3,NA
1884-01-25 11:00:00,NA,4.4,NA
1884-01-25 12:00:00,NA,4.4,NA
1884-01-25 13:00:00,NA,4.4,NA
1884-01-25 14:00:00,NA,4.4,NA
1884-01-25 15:00:00,NA,4.4,NA
1884-01-25 16:00:00,NA,4.4,NA
1884-01-25 17:00:00,NA,3.9,NA
1884-01-25 18:00:00,NA,3.3,NA
1884-01-25 19:00:00,NA,-999.9,NA
1884-01-26,NA,NA,NA
1884-01-26 06:00:00,NA,2.2,NA
1884-01-26 07:00:00,NA,2.2,NA
1884-01-26 08:00:00,NA,2.8,NA
1884-01-26 09:00:00,NA,3.3,NA
1884-01-26 10:00:00,NA,3.9,NA
1884-01-26 11:00:00,NA,4.4,NA
1884-01-26 12:00:00,NA,4.4,NA
1884-01-26 13:00:00,NA,5,NA
1884-01-26 14:00:00,NA,5.6,NA
1884-01-26 15:00:00,NA,5.6,NA
1884-01-26 16:00:00,NA,4.4,NA
1884-01-26 17:00:00,NA,4.4,NA
1884-01-26 18:00:00,NA,3.9,NA
1884-01-26 19:00:00,NA,3.9,NA
1884-01-27,NA,NA,NA
1884-01-27 06:00:00,NA,1.1,NA
1884-01-27 07:00:00,NA,1.1,NA
1884-01-27 08:00:00,NA,1.1,NA
1884-01-27 09:00:00,NA,2.2,NA
1884-01-27 10:00:00,NA,2.8,NA
1884-01-27 11:00:00,NA,3.3,NA
1884-01-27 12:00:00,NA,3.9,NA
1884-01-27 13:00:00,NA,4.4,NA
1884-01-27 14:00:00,NA,2.8,NA
1884-01-27 15:00:00,NA,2.8,NA
1884-01-27 16:00:00,NA,1.7,NA
1884-01-27 17:00:00,NA,0,NA
1884-01-27 18:00:00,NA,-0.6,NA
1884-01-27 19:00:00,NA,-999.9,NA
1884-01-28,NA,NA,NA
1884-01-28 06:00:00,NA,-0.6,NA
1884-01-28 07:00:00,NA,0,NA
1884-01-28 08:00:00,NA,0,NA
1884-01-28 09:00:00,NA,0.6,NA
1884-01-28 10:00:00,NA,1.1,NA
1884-01-28 11:00:00,NA,2.8,NA
1884-01-28 12:00:00,NA,3.3,NA
1884-01-28 13:00:00,NA,3.3,NA
1884-01-28 14:00:00,NA,2.8,NA
1884-01-28 15:00:00,NA,2.2,NA
1884-01-28 16:00:00,NA,0.6,NA
1884-01-28 17:00:00,NA,-0.6,NA
1884-01-28 18:00:00,NA,-1.1,NA
1884-01-28 19:00:00,NA,-1.1,NA
1884-01-29,NA,NA,NA
1884-01-29 06:00:00,NA,-4.4,NA
1884-01-29 07:00:00,NA,-4.4,NA
1884-01-29 08:00:00,NA,-3.3,NA
1884-01-29 09:00:00,NA,0,NA
1884-01-29 10:00:00,NA,0.6,NA
1884-01-29 11:00:00,NA,1.7,NA
1884-01-29 12:00:00,NA,2.2,NA
1884-01-29 13:00:00,NA,2.2,NA
1884-01-29 14:00:00,NA,2.2,NA
1884-01-29 15:00:00,NA,2.2,NA
1884-01-29 16:00:00,NA,1.1,NA
1884-01-29 17:00:00,NA,0,NA
1884-01-29 18:00:00,NA,0,NA
1884-01-29 19:00:00,NA,0,NA
1884-01-30,NA,NA,NA
1884-01-30 06:00:00,NA,-1.1,NA
1884-01-30 07:00:00,NA,-1.1,NA
1884-01-30 08:00:00,NA,-1.1,NA
1884-01-30 09:00:00,NA,0,NA
1884-01-30 10:00:00,NA,1.7,NA
1884-01-30 11:00:00,NA,2.8,NA
1884-01-30 12:00:00,NA,3.3,NA
1884-01-30 13:00:00,NA,4.4,NA
1884-01-30 14:00:00,NA,4.4,NA
1884-01-30 15:00:00,NA,3.3,NA
1884-01-30 16:00:00,NA,1.7,NA
1884-01-30 17:00:00,NA,0.6,NA
1884-01-30 18:00:00,NA,-0.6,NA
1884-01-30 19:00:00,NA,-0.6,NA
1884-01-31,NA,NA,NA
1884-01-31 06:00:00,NA,-2.2,NA
1884-01-31 07:00:00,NA,-2.2,NA
1884-01-31 08:00:00,NA,-1.7,NA
1884-01-31 09:00:00,NA,0.6,NA
1884-01-31 10:00:00,NA,1.1,NA
1884-01-31 11:00:00,NA,2.2,NA
1884-01-31 12:00:00,NA,3.9,NA
1884-01-31 13:00:00,NA,4.4,NA
1884-01-31 14:00:00,NA,5,NA
1884-01-31 15:00:00,NA,3.3,NA
1884-01-31 16:00:00,NA,2.8,NA
1884-01-31 17:00:00,NA,2.2,NA
1884-01-31 18:00:00,NA,2.2,NA
1884-01-31 19:00:00,NA,2.2,NA
1884-02-01,NA,NA,NA
1884-02-01 06:00:00,NA,0.6,NA
1884-02-01 07:00:00,NA,0.6,NA
1884-02-01 08:00:00,NA,1.1,NA
