"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Winowhupa","53.16","-62.75","112","America/Goose_Bay","4",NA,NA
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","cv","dd","p","ptb","pte","ta","w","ww"
1865-10-11 07:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-11 07:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-11 07:00:00,NA,NA,NA,983.75,NA,NA,NA,NA,NA
1865-10-11 07:00:00,NA,NA,NA,NA,NA,NA,-1.11,NA,NA
1865-10-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SN NA"
1865-10-11 14:00:00,17.78,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-11 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-11 14:00:00,NA,NA,NA,986.12,NA,NA,NA,NA,NA
1865-10-11 14:00:00,NA,NA,NA,NA,NA,NA,5.56,NA,NA
1865-10-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,1,NA
1865-10-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SN NA"
1865-10-11 21:00:00,18.89,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-11 21:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-11 21:00:00,NA,NA,NA,985.44,NA,NA,NA,NA,NA
1865-10-11 21:00:00,NA,NA,NA,NA,NA,NA,-1.67,NA,NA
1865-10-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SKC NA"
1865-10-12 07:00:00,16.67,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-12 07:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-12 07:00:00,NA,NA,NA,987.47,NA,NA,NA,NA,NA
1865-10-12 07:00:00,NA,NA,NA,NA,NA,NA,-0.56,NA,NA
1865-10-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,0,NA
1865-10-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-12 14:00:00,18.89,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-12 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-12 14:00:00,NA,NA,NA,988.83,NA,NA,NA,NA,NA
1865-10-12 14:00:00,NA,NA,NA,NA,NA,NA,4.44,NA,NA
1865-10-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,1,NA
1865-10-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-12 21:00:00,17.78,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-12 21:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-12 21:00:00,NA,NA,NA,990.18,NA,NA,NA,NA,NA
1865-10-12 21:00:00,NA,NA,NA,NA,NA,NA,1.67,NA,NA
1865-10-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,2,NA
1865-10-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-13,NA,NA,NA,NA,"7 am",NA,NA,NA,NA
1865-10-13,NA,NA,NA,NA,NA,NA,NA,NA,"NA snow"
1865-10-13 07:00:00,15.56,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-13 07:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-13 07:00:00,NA,NA,NA,991.53,NA,NA,NA,NA,NA
1865-10-13 07:00:00,NA,NA,NA,NA,NA,NA,1.11,NA,NA
1865-10-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,2,NA
1865-10-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",SN NA"
1865-10-13 14:00:00,17.78,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-13 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-13 14:00:00,NA,NA,NA,988.83,NA,NA,NA,NA,NA
1865-10-13 14:00:00,NA,NA,NA,NA,NA,NA,2.22,NA,NA
1865-10-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,5,NA
1865-10-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-13 21:00:00,18.89,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-13 21:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-13 21:00:00,NA,NA,NA,986.79,NA,NA,NA,NA,NA
1865-10-13 21:00:00,NA,NA,NA,NA,NA,NA,0.56,NA,NA
1865-10-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,1,NA
1865-10-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-14 07:00:00,17.78,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-14 07:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-14 07:00:00,NA,NA,NA,985.44,NA,NA,NA,NA,NA
1865-10-14 07:00:00,NA,NA,NA,NA,NA,NA,0,NA,NA
1865-10-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,5,NA
1865-10-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-14 14:00:00,15.56,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865-10-14 14:00:00,NA,NA,315,NA,NA,NA,NA,NA,NA
1865-10-14 14:00:00,NA,NA,NA,985.44,NA,NA,NA,NA,NA
1865-10-14 14:00:00,NA,NA,NA,NA,NA,NA,2.78,NA,NA
1865-10-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,11,NA
1865-10-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,",BKN NA"
1865-10-14 21:00:00,17.78,NA,NA,NA,NA,NA,NA,NA,NA
