"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortNelson","58.8","-122.7","400","America/Fort_Nelson","7","71594","1192948"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","ta","ww"
1821-11-23 12:00:00,45,NA,NA
1821-11-23 14:00:00,NA,11.11,NA
1821-11-23 21:00:00,NA,11.11,NA
1821-11-24,NA,NA,",BKN NA"
1821-11-24,NA,NA,NA
1821-11-24 07:00:00,NA,9.44,NA
1821-11-24 12:00:00,45,NA,NA
1821-11-24 14:00:00,NA,12.22,NA
1821-11-24 21:00:00,NA,8.89,NA
1821-11-25,NA,NA,",SKC NA"
1821-11-25 07:00:00,NA,3.33,NA
1821-11-25 12:00:00,270,NA,NA
1821-11-25 14:00:00,NA,7.22,NA
1821-11-25 21:00:00,NA,6.11,NA
1821-11-26,NA,NA,",SKC NA"
1821-11-26 07:00:00,NA,1.67,NA
1821-11-26 12:00:00,NA,NA,NA
1821-11-26 14:00:00,NA,10,NA
1821-11-26 21:00:00,NA,4.44,NA
1821-11-27,NA,NA,",SKC NA"
1821-11-27 07:00:00,NA,3.33,NA
1821-11-27 12:00:00,45,NA,NA
1821-11-27 14:00:00,NA,10.56,NA
1821-11-27 21:00:00,NA,8.89,NA
1821-11-28,NA,NA,",SKC NA"
1821-11-28 07:00:00,NA,3.33,NA
1821-11-28 12:00:00,90,NA,NA
1821-11-28 14:00:00,NA,11.11,NA
1821-11-28 21:00:00,NA,11.67,NA
1821-11-29,NA,NA,",SKC NA"
1821-11-29 07:00:00,NA,7.22,NA
1821-11-29 12:00:00,0,NA,NA
1821-11-29 14:00:00,NA,15.56,NA
1821-11-29 21:00:00,NA,12.78,NA
1821-11-30,NA,NA,",SKC NA"
1821-11-30,NA,NA,NA
1821-11-30 07:00:00,NA,7.22,NA
1821-11-30 12:00:00,45,NA,NA
1821-11-30 14:00:00,NA,12.22,NA
1821-11-30 21:00:00,NA,11.11,NA
1821-12-01,NA,NA,",BKN NA"
1821-12-01,NA,NA,NA
1821-12-01 07:00:00,NA,17.78,NA
1821-12-01 12:00:00,0,NA,NA
1821-12-01 14:00:00,NA,12.22,NA
1821-12-01 21:00:00,NA,13.33,NA
1821-12-02,NA,NA,",BKN NA"
1821-12-02,NA,NA,NA
1821-12-02 07:00:00,NA,12.22,NA
1821-12-02 12:00:00,NA,NA,NA
1821-12-02 14:00:00,NA,13.33,NA
1821-12-02 21:00:00,NA,16.67,NA
1821-12-03,NA,NA,",SKC NA"
1821-12-03 07:00:00,NA,12.22,NA
1821-12-03 12:00:00,0,NA,NA
1821-12-03 14:00:00,NA,13.89,NA
1821-12-03 21:00:00,NA,12.22,NA
1821-12-04,NA,NA,",BKN NA"
1821-12-04 07:00:00,NA,10,NA
1821-12-04 12:00:00,NA,NA,NA
1821-12-04 14:00:00,NA,12.22,NA
1821-12-04 21:00:00,NA,11.11,NA
1821-12-05,NA,NA,",BKN NA"
1821-12-05,NA,NA,NA
1821-12-05 07:00:00,NA,10,NA
1821-12-05 12:00:00,0,NA,NA
1821-12-05 14:00:00,NA,13.33,NA
1821-12-05 21:00:00,NA,12.22,NA
1821-12-06,NA,NA,",SKC NA"
1821-12-06 07:00:00,NA,4.44,NA
1821-12-06 12:00:00,315,NA,NA
1821-12-06 14:00:00,NA,7.22,NA
1821-12-06 21:00:00,NA,6.67,NA
1821-12-07,NA,NA,",SKC NA"
1821-12-07 07:00:00,NA,1.11,NA
1821-12-07 12:00:00,225,NA,NA
1821-12-07 14:00:00,NA,8.33,NA
1821-12-07 21:00:00,NA,10,NA
1821-12-08,NA,NA,",BKN NA"
1821-12-08 07:00:00,NA,8.33,NA
1821-12-08 12:00:00,315,NA,NA
1821-12-08 14:00:00,NA,10,NA
1821-12-08 21:00:00,NA,11.11,NA
1821-12-09,NA,NA,",SKC NA"
1821-12-09 07:00:00,NA,7.78,NA
1821-12-09 12:00:00,0,NA,NA
1821-12-09 14:00:00,NA,12.22,NA
1821-12-09 21:00:00,NA,11.67,NA
1821-12-10,NA,NA,",SKC NA"
