"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"SevernHouseHB","56.1","-89","14","America/Winnipeg","6","71099","6012501"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta"
1773-07-20 09:00:00,NA,1.11
1773-07-20 12:00:00,225,NA
1773-07-20 15:00:00,NA,16.67
1773-07-21 09:00:00,NA,12.22
1773-07-21 12:00:00,NA,NA
1773-07-21 15:00:00,NA,11.67
1773-07-22 09:00:00,NA,7.22
1773-07-22 12:00:00,270,NA
1773-07-22 15:00:00,NA,22.22
1773-07-23 09:00:00,NA,10
1773-07-23 12:00:00,225,NA
1773-07-23 15:00:00,NA,22.22
1773-07-24 09:00:00,NA,12.78
1773-07-24 12:00:00,NA,NA
1773-07-24 15:00:00,NA,21.11
1773-07-25 09:00:00,NA,8.33
1773-07-25 12:00:00,NA,NA
1773-07-25 15:00:00,NA,21.11
1773-07-26 09:00:00,NA,6.67
1773-07-26 12:00:00,180,NA
1773-07-26 15:00:00,NA,10.83
1773-07-27 09:00:00,NA,3.33
1773-07-27 12:00:00,315,NA
1773-07-27 15:00:00,NA,17.78
1773-07-28 09:00:00,NA,12.78
1773-07-28 12:00:00,270,NA
1773-07-28 15:00:00,NA,21.11
1773-07-29 09:00:00,NA,5
1773-07-29 12:00:00,315,NA
1773-07-29 15:00:00,NA,11.67
1773-07-30 09:00:00,NA,5.83
1773-07-30 12:00:00,45,NA
1773-07-30 15:00:00,NA,22.22
1773-07-31 09:00:00,NA,16.67
1773-07-31 12:00:00,180,NA
1773-07-31 15:00:00,NA,30.56
1773-08-01,NA,NA
1773-08-01 09:00:00,NA,20.56
1773-08-01 12:00:00,225,NA
1773-08-01 15:00:00,NA,23.33
1773-08-02,NA,NA
1773-08-02 09:00:00,NA,12.78
1773-08-02 12:00:00,270,NA
1773-08-02 15:00:00,NA,20
1773-08-03,NA,NA
1773-08-03 09:00:00,NA,NA
1773-08-03 12:00:00,270,NA
1773-08-03 15:00:00,NA,15.56
1773-08-04,NA,NA
1773-08-04 09:00:00,NA,7.78
1773-08-04 12:00:00,270,NA
1773-08-04 15:00:00,NA,17.22
1773-08-05,NA,NA
1773-08-05 09:00:00,NA,5.56
1773-08-05 12:00:00,315,NA
1773-08-05 15:00:00,NA,14.44
1773-08-06,NA,NA
1773-08-06 09:00:00,NA,4.44
1773-08-06 12:00:00,NA,NA
1773-08-06 15:00:00,NA,11.11
1773-08-07,NA,NA
1773-08-07 09:00:00,NA,3.89
1773-08-07 12:00:00,315,NA
1773-08-07 15:00:00,NA,10
1773-08-08,NA,NA
1773-08-08 09:00:00,NA,5
1773-08-08 12:00:00,135,NA
