"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Kingston","44.2","-76.5","85.3","America/Toronto","5","71820","6104185"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"e","specific humidity","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"rh","relative humidity","atmospheric material",NA,"%","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tb_mean","humidity","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tbn","humidity","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"tbx","humidity","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"td","hydroclimatic variable","atmospheric material",NA,"C","sub-daily","instrumental","calculated","computational method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Txs","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","e","p","pr","rh","ta_mean","tb","tb_mean","tbn","tbx","td","tdb","Tn","Tx","Txs","w","ww"
1853-11-01,NA,NA,NA,NA,NA,NA,6.94,NA,0.28,0,0.56,NA,NA,3.89,10,NA,NA,"empty"
1853-11-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-01 09:00:00,11.67,180,NA,1009.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-01 14:00:00,11.39,NA,NA,1000.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-01 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1853-11-02,NA,NA,NA,NA,NA,NA,3.33,NA,-0.28,-0.56,0,NA,NA,2.78,3.89,NA,NA,"empty"
1853-11-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-02 09:00:00,12.22,202.5,NA,1013.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-02 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-02 14:00:00,7.22,NA,NA,1024.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-02 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-03,NA,NA,NA,NA,NA,NA,3.61,NA,-0.56,-0.56,-0.56,NA,NA,0,7.22,NA,NA,"empty"
1853-11-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-03 09:00:00,12.22,315,NA,1017.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-03 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-03 14:00:00,7.22,NA,NA,1018.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-03 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-04,NA,NA,NA,NA,NA,NA,-0.44,NA,-1.11,-1.11,-1.11,NA,NA,-0.56,-0.56,NA,NA,"empty"
1853-11-04 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-04 09:00:00,8.89,270,NA,1015.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1853-11-04 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-04 14:00:00,7.78,NA,NA,1017.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-04 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-05,NA,NA,NA,NA,NA,NA,-1.11,NA,-0.28,0,-0.56,NA,NA,-1.11,-1.11,NA,NA,"snow"
1853-11-05 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-05 09:00:00,7.78,315,NA,1014.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1853-11-05 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-05 14:00:00,8.33,NA,NA,1007.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-05 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-06,NA,NA,NA,NA,NA,NA,-2.22,NA,-1.94,-1.67,-2.22,NA,NA,-2.5,-1.94,NA,NA,"empty"
1853-11-06 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-06 09:00:00,7.78,0,NA,1027.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1853-11-06 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-06 14:00:00,11.67,NA,NA,1025.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-06 15:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-07,NA,NA,NA,NA,NA,NA,1.67,NA,1.94,2.22,1.67,NA,NA,1.67,1.67,NA,NA,"empty"
1853-11-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-07 09:00:00,6.11,337.5,NA,1016.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1853-11-07 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-07 14:00:00,10.56,NA,NA,1006.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-07 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-08,NA,NA,NA,NA,NA,NA,8.89,NA,7.78,7.78,7.78,NA,NA,8.89,8.89,NA,NA,"snow | sleet | rain"
1853-11-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-08 09:00:00,11.94,180,NA,988.76,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1853-11-08 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-08 14:00:00,12.22,NA,NA,993.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-08 15:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-09,NA,NA,NA,NA,NA,NA,1.39,NA,7.22,7.22,7.22,NA,NA,-3.89,6.67,NA,NA,"empty"
1853-11-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-09 09:00:00,7.78,270,NA,1003.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1853-11-09 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-09 14:00:00,7.78,NA,NA,1016.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-09 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-10,NA,NA,NA,NA,NA,NA,1.39,NA,NA,-1.11,NA,NA,NA,-2.22,5,NA,NA,"empty"
1853-11-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853-11-10 09:00:00,7.78,270,NA,1020.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
