"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortPrinceWalesHB","58.8","-94.2","6","America/Winnipeg","6","71696","5060608"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta"
1769-01-14 20:00:00,270,NA
1769-01-15,NA,NA
1769-01-15 09:00:00,NA,-34.44
1769-01-15 15:00:00,NA,-32.78
1769-01-15 20:00:00,315,NA
1769-01-16,NA,NA
1769-01-16 09:00:00,NA,NA
1769-01-16 15:00:00,NA,-35
1769-01-16 20:00:00,270,NA
1769-01-17,NA,NA
1769-01-17 09:00:00,NA,-37.22
1769-01-17 15:00:00,NA,-35
1769-01-17 20:00:00,315,NA
1769-01-18,NA,NA
1769-01-18 09:00:00,NA,-38.89
1769-01-18 15:00:00,NA,-35.56
1769-01-18 20:00:00,315,NA
1769-01-19,NA,NA
1769-01-19 09:00:00,NA,-34.44
1769-01-19 15:00:00,NA,-24.44
1769-01-19 20:00:00,270,NA
1769-01-20,NA,NA
1769-01-20 09:00:00,NA,-35
1769-01-20 15:00:00,NA,-31.11
1769-01-20 20:00:00,315,NA
1769-01-21,NA,NA
1769-01-21 09:00:00,NA,-37.78
1769-01-21 15:00:00,NA,-33.89
1769-01-21 20:00:00,315,NA
1769-01-22,NA,NA
1769-01-22 09:00:00,NA,-37.78
1769-01-22 15:00:00,NA,-29.44
1769-01-22 20:00:00,270,NA
1769-01-23,NA,NA
1769-01-23 09:00:00,NA,-40.56
1769-01-23 15:00:00,NA,-36.11
1769-01-23 20:00:00,270,NA
1769-01-24,NA,NA
1769-01-24 09:00:00,NA,-37.78
1769-01-24 15:00:00,NA,-33.33
1769-01-24 20:00:00,270,NA
1769-01-25,NA,NA
1769-01-25 09:00:00,NA,-28.33
1769-01-25 15:00:00,NA,-25.56
1769-01-25 20:00:00,45,NA
1769-01-26,NA,NA
1769-01-26 09:00:00,NA,-26.67
1769-01-26 15:00:00,NA,-29.44
1769-01-26 20:00:00,0,NA
1769-01-27,NA,NA
1769-01-27 09:00:00,NA,-31.67
1769-01-27 15:00:00,NA,-28.89
1769-01-27 20:00:00,315,NA
1769-01-28,NA,NA
1769-01-28 09:00:00,NA,-36.67
1769-01-28 15:00:00,NA,-33.33
1769-01-28 20:00:00,315,NA
1769-01-29,NA,NA
1769-01-29 09:00:00,NA,-40
1769-01-29 15:00:00,NA,-34.44
1769-01-29 20:00:00,0,NA
1769-01-30,NA,NA
1769-01-30 09:00:00,NA,-40.56
1769-01-30 15:00:00,NA,-34.44
1769-01-30 20:00:00,315,NA
1769-01-31,NA,NA
1769-01-31 09:00:00,NA,-28.89
1769-01-31 15:00:00,NA,-27.78
1769-01-31 20:00:00,315,NA
1769-02-01,NA,NA
1769-02-01 09:00:00,NA,-32.78
1769-02-01 15:00:00,NA,-25.56
1769-02-01 20:00:00,225,NA
1769-02-02,NA,NA
1769-02-02 09:00:00,NA,-21.11
1769-02-02 15:00:00,NA,-18.33
1769-02-02 20:00:00,270,NA
1769-02-03,NA,NA
1769-02-03 09:00:00,NA,-34.44
1769-02-03 15:00:00,NA,-31.11
1769-02-03 20:00:00,315,NA
1769-02-04,NA,NA
1769-02-04 09:00:00,NA,-21.67
1769-02-04 15:00:00,NA,-17.78
1769-02-04 20:00:00,135,NA
1769-02-05,NA,NA
1769-02-05 09:00:00,NA,-28.89
1769-02-05 15:00:00,NA,-26.11
1769-02-05 20:00:00,270,NA
1769-02-06,NA,NA
1769-02-06 09:00:00,NA,-31.11
1769-02-06 15:00:00,NA,-26.67
1769-02-06 20:00:00,315,NA
1769-02-07,NA,NA
1769-02-07 09:00:00,NA,-28.89
1769-02-07 15:00:00,NA,-19.44
1769-02-07 20:00:00,225,NA
1769-02-08,NA,NA
1769-02-08 09:00:00,NA,-26.11
1769-02-08 15:00:00,NA,-23.33
1769-02-08 20:00:00,225,NA
1769-02-09,NA,NA
1769-02-09 09:00:00,NA,-21.11
1769-02-09 15:00:00,NA,-9.44
1769-02-09 20:00:00,180,NA
1769-02-10,NA,NA
1769-02-10 09:00:00,NA,-11.11
1769-02-10 15:00:00,NA,-17.78
1769-02-10 20:00:00,315,NA
1769-02-11,NA,NA
1769-02-11 09:00:00,NA,-32.22
1769-02-11 15:00:00,NA,-26.11
1769-02-11 20:00:00,0,NA
1769-02-12,NA,NA
1769-02-12 09:00:00,NA,-22.78
1769-02-12 15:00:00,NA,-19.44
1769-02-12 20:00:00,0,NA
1769-02-13,NA,NA
1769-02-13 09:00:00,NA,-32.22
1769-02-13 15:00:00,NA,-22.78
1769-02-13 20:00:00,315,NA
1769-02-14,NA,NA
1769-02-14 09:00:00,NA,-32.78
1769-02-14 15:00:00,NA,-26.11
1769-02-14 20:00:00,315,NA
1769-02-15,NA,NA
1769-02-15 09:00:00,NA,-27.78
1769-02-15 15:00:00,NA,-16.11
1769-02-15 20:00:00,180,NA
1769-02-16,NA,NA
1769-02-16 09:00:00,NA,-23.89
1769-02-16 15:00:00,NA,-21.11
1769-02-16 20:00:00,0,NA
1769-02-17,NA,NA
1769-02-17 09:00:00,NA,-26.67
1769-02-17 15:00:00,NA,-18.89
1769-02-17 20:00:00,0,NA
1769-02-18,NA,NA
1769-02-18 09:00:00,NA,-28.89
1769-02-18 15:00:00,NA,-20
1769-02-18 20:00:00,0,NA
1769-02-19,NA,NA
1769-02-19 09:00:00,NA,-27.78
1769-02-19 15:00:00,NA,-23.33
1769-02-19 20:00:00,45,NA
1769-02-20,NA,NA
1769-02-20 09:00:00,NA,-22.22
1769-02-20 15:00:00,NA,-15
1769-02-20 20:00:00,45,NA
1769-02-21,NA,NA
1769-02-21 09:00:00,NA,NA
1769-02-21 15:00:00,NA,-14.44
1769-02-21 20:00:00,315,NA
1769-02-22,NA,NA
1769-02-22 09:00:00,NA,-35.56
1769-02-22 15:00:00,NA,-29.44
1769-02-22 20:00:00,270,NA
1769-02-23,NA,NA
1769-02-23 09:00:00,NA,-40.56
1769-02-23 15:00:00,NA,-35.56
1769-02-23 20:00:00,270,NA
1769-02-24,NA,NA
1769-02-24 09:00:00,NA,-33.89
1769-02-24 15:00:00,NA,-23.33
1769-02-24 20:00:00,270,NA
1769-02-25,NA,NA
1769-02-25 09:00:00,NA,-37.78
1769-02-25 15:00:00,NA,-31.11
1769-02-25 20:00:00,270,NA
1769-02-26,NA,NA
1769-02-26 09:00:00,NA,-37.78
1769-02-26 15:00:00,NA,-31.11
1769-02-26 20:00:00,315,NA
1769-02-27,NA,NA
1769-02-27 09:00:00,NA,-41.11
1769-02-27 15:00:00,NA,-33.33
1769-02-27 20:00:00,315,NA
1769-02-28,NA,NA
1769-02-28 09:00:00,NA,-38.33
1769-02-28 15:00:00,NA,-22.78
1769-02-28 20:00:00,270,NA
1769-03-01,NA,NA
1769-03-01 09:00:00,NA,-34.44
1769-03-01 15:00:00,NA,-27.78
1769-03-01 20:00:00,315,NA
1769-03-02,NA,NA
1769-03-02 09:00:00,NA,-40.56
1769-03-02 15:00:00,NA,-31.67
1769-03-02 20:00:00,315,NA
1769-03-03,NA,NA
1769-03-03 09:00:00,NA,-31.67
1769-03-03 15:00:00,NA,-25
1769-03-03 20:00:00,270,NA
1769-03-04,NA,NA
1769-03-04 09:00:00,NA,-34.44
1769-03-04 15:00:00,NA,-23.33
1769-03-04 20:00:00,270,NA
1769-03-05,NA,NA
1769-03-05 09:00:00,NA,-35.56
1769-03-05 15:00:00,NA,-32.22
1769-03-05 20:00:00,315,NA
1769-03-06,NA,NA
1769-03-06 09:00:00,NA,-36.11
1769-03-06 15:00:00,NA,-28.33
1769-03-06 20:00:00,270,NA
1769-03-07,NA,NA
1769-03-07 09:00:00,NA,-40.56
1769-03-07 15:00:00,NA,-28.89
1769-03-07 20:00:00,270,NA
1769-03-08,NA,NA
1769-03-08 09:00:00,NA,-32.78
1769-03-08 15:00:00,NA,-20.56
1769-03-08 20:00:00,315,NA
1769-03-09,NA,NA
1769-03-09 09:00:00,NA,-33.33
1769-03-09 15:00:00,NA,-23.89
1769-03-09 20:00:00,270,NA
1769-03-10,NA,NA
1769-03-10 09:00:00,NA,-14.44
