Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,March,31,,,,33,,,,,Clear,,,,,,,,,,28,,,,Clear,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,April,1,,,,[illegible],,,,,Clear,,,,,,,,,,29,,,,Clear,
Amherstburg_UKN-500_Forts_1840-03-04_OBS-F.jpg,1840,April,2,,26,,,,,,,,,,,,,,,,,26,,,,Clear,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,3,,,38,,,,,,,,,,,,,,,,44,,,,,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,4,,,40,,,,,,Clear + windy (high),,,,,,46,,,,36,,,,,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,5,,,32,,,,,,Cloudy,,,,,,,,32,,,,,,Cloudy,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,6,,,32,,,,,,,,,,,,36,,,,28,,,,Clear,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,7,,24,,,,,,,Clear,,,,,,,,,,26,,,,"Clear, no wind",
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,8,,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,9,,26,,,,,,,Clear,,,,,,56,,50,,42,,,,Clear,
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,10,,46,,,,,,,Cloudy,,,,,,,,50,,50,,,,"Cloudy, [Ruddock whetting]",
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,11,,,50,,,,,,Cloudy,,,,56,,,,,,52,,,,"Cloudy, [Ruddock whetting]",
Amherstburg_UKN-500_Forts_1840-04-05_OBS-F.jpg,1840,April,12,,,,,,,,,,,,,,,,,,,36,,,,Clear + windy,
