Observation date,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,remarks_7am,remarks_2pm,remarks_9pm,daily_weather_remarks,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,cloud_amount_7am,kind_of_cloud_7am,cloud_velocity_7am,cloud_direction_7am,cloud_amount_2pm,kind_of_cloud_2pm,cloud_velocity_2pm,cloud_direction_2pm,cloud_amount_9pm,kind_cloud_9pm,cloud_velocity_9pm,course_higher_clouds_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,barometer_7am,barometer_2pm,barometer_9pm_0,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_corrected_7am,barometer_corrected_2pm,barometer_corrected_9pm,barometer_corrected_mean,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,max_thermometer_obs,max_thermometer_cor,min_thermometer_obs,min_thermometer_cor,casual_phenomena,casual_phenomena_line_2,casual_phenomena_line_3,casual_phenomena_line_4,casual_phenomena_line_5
1870-04-07,45,51,41,45.6,NA,NA,NA,NA,Empty,0,0,0,0,7,Cirro-cumulus,1,West,5,Cirro-cumulus,1,West,10,Cumulus,1,West,South,0,West,1,South,1,29.402,29.46,29.352,58,70,65,29.325,29.352,29.257,29.311,45,51,41,43.3,47.4,40.4,29.067,29.071,29.004,0.88,0.75,0.96,NA,NA,NA,NA,"Atmosphere hazy to day. Red River opening along the shore, Grass turning green in the prairies",NA,NA,NA,NA
1870-04-08,44,64,49,52.3,NA,NA,NA,NA,Empty,0,0,0,0,7,Cirro-cumulus,1,West,2,Cirrus,1,West,0,Empty,Empty,Empty,South,3,South,6,South,5,29.262,29.188,29.096,51,77,64,29.204,29.062,29.004,29.09,44,64,49,42.3,55.6,46.6,28.957,28.729,28.716,0.88,0.55,0.81,NA,NA,NA,NA,Atmosphere hazy to day. Ice moved in the Red River but soon got jammed. A few auroral streamers in the north at 8 P.M.,NA,NA,NA,NA
1870-04-09,47,64,42,51,NA,NA,NA,NA,R,4 P.M.,8 P.M.,0.15,0,4,Cirro-cumulus,1,West,7,Cumulus,1,West,8,Cumulus,4,South-West,South,8,South,8,South,1,28.954,28.92,28.964,54,77,62,28.888,28.797,28.877,28.854,47,64,42,44.3,55.3,41.3,28.632,28.472,28.627,0.81,0.55,0.96,NA,NA,NA,NA,The sky still hazy. The wind changed suddenly to NW at 4 P.M. and commenced raining heavily. Calmed down at 8 P.M. Rain ceased. Wind cahnged again to S.,NA,NA,NA,NA
1870-04-10,36,56,35,42.3,NA,NA,NA,NA,Empty,0,0,0,0,0,Empty,Empty,Empty,2,Cumulus,1,West,3,Cumulus,4,West,South,3,South-West,8,North,4,28.948,28.944,29.056,49,62,55,28.895,28.857,28.987,28.913,36,56,35,35.3,46.6,33.4,28.699,28.659,28.817,0.95,0.42,0.84,NA,NA,NA,NA,"Wind changed several times from N to S. Several times this evening, a few drop of rain about 4 P.M.  Frogo commenced to crack to day. Ice passing down the Red River.",,,,
1870-04-11,27,40,30,32.3,NA,NA,NA,NA,Empty,0,0,0,0,0,Empty,Empty,Empty,3,Cirrus,1,West,10,Cumulus,3,West,North,1,North,2,North-East,2,29.262,29.298,29.14,45,66,62,29.219,29.202,29.053,29.158,27,40,30,26,36.3,29.7,29.09,29.035,28.892,0.88,0.68,0.94,NA,NA,NA,NA,The Red River running clear of ice to day.,NA,NA,NA,NA
1870-04-12,35,70,44,49.6,NA,NA,NA,NA,Empty,0,0,0,0,7,Cirro-cumulus,1,West,3,Cirrus,0,Empty,0,Empty,Empty,Empty,East,1,South,0,North,0,28.954,28.872,28.798,47,69,60,28.906,28.769,28.718,28.797,35,70,44,34.5,59.3,43.7,28.713,28.403,28.536,0.95,0.5,0.96,NA,NA,NA,NA,Blackbirds arrived to day. Sky uncommonly hazy this evening.,NA,NA,NA,NA
1870-04-13,42,43,29,38,NA,NA,NA,NA,Empty,0,0,0,0,9,Cumulus,2,West,10,Cumulus,2,North,10,Cumulus,4,North,North,2,North,6,North,8,28.548,28.606,28.886,55,62,64,28.48,28.521,28.796,28.599,42,43,29,41.6,41.7,28.6,28.222,28.274,28.644,0.96,0.87,0.94,NA,NA,NA,NA,Pheasants first seen.,NA,NA,NA,NA
1870-04-14,21,18,12,17,NA,NA,NA,NA,S,11am,Empty,Empty,Empty,10,Cumulus,8,North,10,Nimbus,9,North,10,Nimbus,8,North,North,9,North,9,North,8,29.162,29.294,29.302,57,65,68,29.088,29.199,29.2,29.162,21,18,12,20.7,17.6,11.5,28.98,29.107,29.127,0.92,0.92,0.9,NA,NA,NA,NA,Dark cloudy morning. Heavy storm of wind all daywith a small sprinkling of snow.,NA,NA,NA,NA
1870-04-15,14,20,11,15,NA,NA,NA,NA,S,Empty,4 P.M.,0.3,1.4,10,Nimbus,8,North,10,Nimbus,8,North,6,Cumulus,5,North,North,8,North,8,North,7,29.124,29.15,29.32,62,59,57,29.037,29.071,29.246,29.151,14,20,11,13.5,19.8,10.3,28.963,28.966,29.185,0.91,0.96,0.89,NA,NA,NA,NA,Still very stormy all day.,NA,NA,NA,NA
1870-04-16,10,28,24,20.6,NA,NA,NA,NA,Empty,0,0,0,0,1,Stratus,0,Empty,0,Empty,Empty,Empty,0,Empty,Empty,Empty,North,3,West,1,South,0,29.352,29.388,29.624,37,58,55,29.33,29.311,29.255,29.298,10,28,24,9.7,24,22.3,29.266,29.228,29.155,0.89,0.53,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870-04-17,30,46,35,37,NA,NA,NA,NA,Empty,0,0,0,0,3,Cirro-cumulus,2,South,6,Cirro-cumulus,2,South,5,Cirro-cumulus,1,West,South,3,South,5,South,3,29.192,29.172,19.134,56,61,61,29.121,29.088,29.05,29.086,30,46,35,28.3,40.3,33.4,28.985,28.918,29.88,0.83,0.57,0.84,NA,NA,NA,NA,The waters of the Red River suddenly rose about 10 ft above its usual level.,NA,NA,NA,NA
1870-04-18,33,53,42,42.6,NA,NA,NA,NA,Empty,0,0,0,0,3,Cirrus,1,West,8,Cirro-cumulus,1,South,10,Nimbus,0,Empty,South,1,South-West,2,West,0,29.084,29.076,29.098,46,66,58,29.039,28.979,29.021,29.013,33,53,42,32.5,44.8,39.7,28.861,28.79,28.807,0.94,0.47,0.78,NA,NA,NA,NA,Farmers in the Lower Settlement commencing to plow.,NA,NA,NA,NA
1870-04-19,36,44,34,38,NA,NA,NA,NA,Empty,0,0,0,0,5,Cirro-cumulus,1,North,10,Cumulus,3,North,0,Empty,Empty,Empty,North-West,3,North-West,3,West,0,29.17,29.216,29.278,45,52,56,29.127,29.155,29.207,29.163,36,44,34,34.6,40,33.7,28.944,28.958,29.017,0.85,0.68,0.95,NA,NA,NA,NA,A few drops of rain during last night. A beautiful aurora in the evening consisting of two arches in the North.The lower one about 15 deg high and the upper one about 25 deg. Commenced 9.30 continued during the night.,NA,NA,NA,NA
1870-04-20,32,61,38,43.6,NA,NA,NA,NA,Empty,0,0,0,0,0,Empty,Empty,Empty,1,Cirrus,0,Empty,2,Stratus,0,Empty,South,0,South,1,South,2,29.282,29.23,29.162,32,61,38,29.236,29.148,29.06,29.148,32,61,38,31.7,49.6,35.7,29.061,28.939,28.88,0.95,0.37,0.76,NA,NA,NA,NA,The Red River still rising very high. A milky auroral vapor this evening in the N at 9 P.M.,NA,NA,NA,NA
1870-04-21,44,48,40,44,NA,NA,NA,NA,R,8.30am,3PM,0.15,0,10,Nimbus,1,West,10,Nimbus,1,West,1,Cumulus,1,West,South,3,North-West,0,West,1,28.956,29.03,28.986,44,48,40,28.888,28.943,28.901,28.91,44,48,40,41.6,46.3,38.3,28.656,28.651,28.692,0.79,0.89,0.86,NA,NA,NA,NA,Small drizzling Rain to day.,NA,NA,NA,NA
1870-04-22,41,66,44,50.3,NA,NA,NA,NA,Empty,0,0,0,0,9,Cumulus,1,West,1,Cirrus,1,West,1,Stratus,0,Empty,South,2,West,4,North,5,28.902,28.89,28.982,41,66,44,28.842,28.797,28.902,28.847,41,66,44,40,51.3,42.4,28.577,28.608,28.652,0.92,0.29,0.88,NA,NA,NA,NA,An auroral vapor in the north from 9 to 11 P.M. with a dark cloud underneath.,NA,NA,NA,NA
1870-04-23,44,50,47,47,NA,NA,NA,NA,Empty,0,0,0,0,1,Stratus,0,Empty,3,Cumulus,1,West,4,Cumulus,1,West,North-East,4,North-East,6,North-East,4,29.218,29.392,29.496,44,50,47,29.157,29.305,29.427,29.296,44,50,47,43,42.4,45.6,28.892,29.133,29.139,0.92,0.48,0.88,NA,NA,NA,NA,The Red River falling a little to day.,NA,NA,NA,NA
1870-04-24,28,50,36,38,NA,NA,NA,NA,Empty,0,0,0,0,1,Stratus,0,Empty,0,Empty,Empty,Empty,0,Empty,Empty,Empty,North,3,North,2,North,0,29.622,29.712,29.62,28,50,36,29.568,29.632,29.547,29.582,28,50,36,27.5,39.6,33.3,29.424,29.522,29.393,0.93,0.28,0.75,NA,NA,NA,NA,Two auroral arches in the North of Not very great brilliancy between the hours of 8 and 10 P.M.,NA,NA,NA,NA
1870-04-25,43,64,52,53,NA,NA,NA,NA,Empty,0,0,0,0,2,Cirrus,0,Empty,1,Cirrus,0,Empty,1,Cumulus,1,South-West,South,5,South,5,South-West,6,29.552,29.422,29.242,43,64,52,29.5,29.348,29.158,29.335,43,64,52,41.7,48.4,44,29.253,29.214,28.973,0.87,0.22,0.47,NA,NA,NA,NA,Red River fast falling to its former level,NA,NA,NA,NA
1870-04-26,43,72,54,56.3,NA,NA,NA,NA,Empty,0,0,0,0,0,Empty,Empty,Empty,3,Cirro-cumulus,4,South-West,3,Cumulus,4,South-West,South-West,5,South-West,8,South-West,8,29.182,29.008,28.724,56,64,64,29.111,28.916,28.634,28.887,43,72,54,38.3,60.6,49.3,28.94,28.534,28.343,0.62,0.47,0.7,NA,NA,NA,NA,Atmosphere very smoky to day on account of large fires in the Prairies.,NA,NA,NA,NA
1870-04-27,36,49,34,39.6,NA,NA,NA,NA,Empty,0,0,0,0,4,Cumulus,8,North-West,2,Cirro-cumulus,8,North,0,Empty,Empty,Empty,North-West,8,North,8,North-East,1,28.85,29.168,29.332,49,54,55,28.798,29.102,29.263,29.054,36,49,34,33.3,38.3,31.4,28.64,29.007,29.117,0.75,0.27,0.75,NA,NA,NA,NA,An auroral arch in the North about 15 deg high. Commenced 8.30 P.M. and [parted] about an hour.,NA,NA,NA,NA
1870-04-28,28,61,38,42.3,NA,NA,NA,NA,Empty,0,0,0,0,1,Stratus,0,Empty,2,Cirro-cumulus,1,West,9,Cumulus,6,South-West,South,0,South,5,South-West,6,29.332,29.208,29.136,49,59,59,29.284,29.129,29.057,29.156,28,61,38,27.3,48,34.7,29.143,28.962,28.897,0.93,0.3,0.67,NA,NA,NA,NA,Dense fog on the river at Sunrise.,NA,NA,NA,NA
1870-04-29,50,63,50,54.3,NA,NA,NA,NA,Empty,0,0,0,0,5,Cirro-cumulus,2,West,1,Cirrus,0,Empty,2,Stratus,0,Empty,South,3,North-West,3,South,1,29.122,29.108,29.084,53,64,60,29.058,29.016,29.002,29.025,50,63,50,44.3,49.4,43.6,28.841,28.84,28.799,0.61,0.3,0.54,NA,NA,NA,NA,A large circle around the Sun between 10 and 12 A.M.,NA,NA,NA,NA
1870-04-30,50,78,61,63,NA,NA,NA,NA,Empty,0,0,0,0,0,Empty,Empty,Empty,0,Empty,Empty,Empty,0,Empty,Empty,Empty,West,1,South-West,1,South,1,29.078,29.076,29.014,53,67,66,29.014,28.976,28.917,28.635,50,78,61,44,61.7,54.3,28.802,28.621,28.582,0.58,0.34,0.63,NA,NA,NA,NA,"Sky totally obscured all day by Smoke from the burning Prairies, at Night. Distant fires seen all around.","As regards farming in this Settlement with the exception of a few farmers in the Portage la Prairie distant and about 60 miles up the River from here and at St. Andrew's about 10 miles down the River from here there will be no farming done in this Settlement, on account of fear of the",grasshoppers who left their eggs in the ground in incredible numbers here last fall in consequence of which our farmers are afraid to sow. The young grasshoppers are just now commencing to come out about the banks of the River and other places exposed to the warmth of the sun and from their,"warmth of the sun and from their numbers one would hardly feel disposed to sow much now. They may  	however take their departure in time to allow the cultivation of Barley and Potatoes but it is hard to tell.",
1870-05-01,54,84,63,67,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,8,Cirro-cumulus,1,North,10,Nimbus,1,West,South,3,South,5,West,1,28.962,28.882,28.998,59,72,69,28.887,28.771,28.898,28.852,54,84,63,48.3,64.3,60.3,28.622,28.425,28.41,0.64,0.29,0.86,NA,NA,NA,NA,Smoke from the burning prairies cleared off in the morning.,,,,
1870-05-02,60,78,59,65.6,NA,NA,NA,NA,Rain,5:30,9:00,0.1,0,10,Nimbus,2,West,7,Cirro-cumulus,1,West,0,0,0,0,West,1,West,2,North,1,28.86,28.882,28.96,65,76,69,28.767,28.761,28.857,28.795,60,78,59,57.6,65.3,55,28.322,28.302,28.475,0.85,0.48,0.76,NA,NA,NA,NA,Rain continued in showers all day.,NA,NA,NA,NA
1870-05-03,50,82,62,64.6,NA,NA,NA,NA,Rain,22:00,Showers,Showers,0,0,0,0,0,3,Cirrus,1,North-West,10,Cumulus,2,West,North-East,1,North-East,2,South-East,3,29.032,28.952,28.858,60,73,68,28.95,28.839,28.757,28.848,50,82,62,49.4,68,58.3,28.605,28.336,28.319,0.96,0.45,0.8,NA,NA,NA,NA,Rain in the evening,NA,NA,NA,NA
1870-05-04,50,65,54,56.3,NA,NA,NA,NA,Rain,Empty,8:00,0.6,0,10,Nimbus,3,South-East,9,Cumulus,3,South-East,8,Cumulus,3,South-East,South-East,3,South-East,3,South-East,3,28.806,28.776,28.882,62,71,66,28.721,28.668,28.786,28.725,50,65,54,49.7,59.3,52.4,28.368,28.237,28.413,0.96,0.71,0.9,NA,NA,NA,NA,Rain continued during last night.,NA,NA,NA,NA
1870-05-05,55,68,44,55.6,NA,NA,NA,NA,Rain,11:30,NA,0.05,0,9,Cumulus,2,West,10,Cumulus,3,East,10,Nimbus,6,North,South-East,2,South,0,North,6,28.808,28.816,28.862,66,68,63,28.716,28.715,28.774,28.735,55,68,44,53,62.3,43.3,28.339,28.228,28.494,0.87,0.72,0.96,NA,NA,NA,NA,Wind commenced to blow from the North at 4 P.M. raining heavily.,NA,NA,NA,NA
1870-05-06,45,54,46,48.3,NA,NA,NA,NA,Rain,4:30,9:00,0.75,0,10,Nimbus,3,North-West,10,Cumulus,1,North,10,Nimbus,1,North,North-West,3,North,4,North,1,28.952,29.042,29.138,55,60,61,28.784,28.96,29.054,28.932,45,54,46,44.3,49.3,43.8,28.513,28.664,28.797,0.96,0.7,0.8,NA,NA,NA,NA,Raining in the forenoon.,NA,NA,NA,NA
1870-05-07,45,64,51,53.3,NA,NA,NA,NA,Empty,0,0,0,0,8,Cirro-cumulus,1,West,2,Cirro-cumulus,1,West,6,Cumulus,2,West,North-West,2,North,1,South,1,29.17,29.098,29.022,54,67,60,29.104,28.998,28.94,29.014,45,646,51,43,56,48.3,28.853,28.652,28.637,0.84,0.57,0.82,NA,NA,NA,NA,A few peals of distant thunder with lightning in the west going NE at 7 P.M.,NA,NA,NA,NA
1870-05-08,44,48,38,43.3,NA,NA,NA,NA,Illegible,Illegible,Illegible,Empty,0,2,Cirro-stratus,0,0,10,Nimbus,3,North-West,9,Cumulus,2,North-West,West,5,North-West,6,West,1,28.976,28.924,28.99,51,60,54,28.919,28.844,28.925,28.929,44,48,38,41,45.7,36,28.7,28.562,28.738,0.76,0.81,0.81,NA,NA,NA,NA,Rain in showers most of the day.,NA,NA,NA,NA
1870-05-09,40,51,41,44,NA,NA,NA,NA,Rain,Empty,5:00,0.15,0,10,Nimbus,1,West,5,Cirro-cumulus,1,North,1,Cirro-cumulus,1,West,West,3,West,3,North-West,2,29.044,29.194,29.32,49,63,55,28.991,29.105,29.251,29.115,40,51,41,39.3,46.5,39.7,28.76,28.846,29.024,0.95,0.68,0.87,NA,NA,NA,NA,Rain ended in the forenoon,NA,NA,NA,NA
1870-05-10,43,75,51,56.3,NA,NA,NA,NA,Empty,0,0,0,0,10,Nimbus,1,North,2,Cumulus,1,West,0,0,0,0,North,4,North-West,5,North-West,2,29.438,29.428,29.296,49,65,58,29.385,29.333,29.319,29.345,43,75,51,43,67,49.4,29.007,28.778,28.987,1,0.64,0.89,NA,NA,NA,NA,Cloudy in the morning cleared up in the evening,NA,NA,NA,NA
1870-05-11,40,68,53,53.6,NA,NA,NA,NA,Empty,0,0,0,0,0,0,0,0,1,Cirrus,0,0,0,0,0,0,North,0,South,0,South,1,29.428,29.322,29.274,52,63,61,29.367,29.233,29.19,29.263,40,68,53,39.3,58,51.6,29.136,28.882,28.825,0.95,0.51,0.9,NA,NA,NA,NA,Clear sky of a light blue color,NA,NA,NA,NA
1870-05-12,52,79,64,65,NA,NA,NA,NA,Empty,0,0,0,0,0,0,0,0,2,Cirro-stratus,0,0,1,Cirrus,0,Empty,South Empty,4,South-West Empty,5,South Empty,3,29.23,29.132,29.108,55,70,67,29.169,29.024,29.008,29.067,52,79,64,44,61,56.6,28.886,28.723,28.645,0.73,0.3,0.6,NA,NA,NA,NA,Sky light blue inclined to be hazy.,NA,NA,NA,NA
1870-05-13,57,85,69,70.3,NA,NA,NA,NA,Empty,0,0,0,0,1,Cirrus,0,0,1,Cirrus,0,0,1,Cirrus,0,0,South,4,South,7,South,4,29.11,29.014,28.986,61,74,73,29.026,28.896,28.873,28.931,57,85,69,53,65.3,60.5,28.675,28.529,28.455,0.75,0.3,0.58,NA,NA,NA,NA,Sky light blue color with a little haze,NA,NA,NA,NA
1870-05-14,60,66,44,56.6,NA,NA,NA,NA,Rain,16:00,19:00,0.5,0,6,Cumulus,1,West,3,Cirro-cumulus,1,West,10,Nimbus,1,West,West,2,South,2,West,1,29.008,29.118,29.092,66,65,60,28.911,29.023,29.01,28.981,60,66,44,55.5,54,42.6,28.528,28.76,28.755,0.73,0.4,0.88,NA,NA,NA,NA,Distant thunder commenced in the west at 9 A.M. occasional peals during the day. Commenced thundering heavily at 4 P.M. with vivid forked lightning. Direction from West to East,NA,NA,NA,NA
1870-05-15,39,55,46,46.6,NA,NA,NA,NA,Empty,0,0,0,0,10,Nimbus,1,West,10,Cumulus,2,West,10,Nimbus,2,West,West,4,North-West,7,North,7,29.128,29.192,29.068,51,56,51,29.059,29.121,29.01,29.063,39,55,46,36,50.3,44,28.885,28.819,28.748,0.73,0.71,0.84,NA,NA,NA,NA,Dark cloudy day,NA,NA,NA,NA
1870-05-16,51,66,58,58.2,NA,NA,NA,NA,Empty,0,0,0,0,10,Nimbus,3,North-East,3,Cirrus,2,South,10,Cumulus,4,South,North-East,7,East,7,East,7,29.104,28.934,28.848,53,61,63,29.04,29.857,28.76,28.883,51,66,58,48.6,58,56.3,28.729,28.871,28.329,0.9,0.77,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870-05-17,57,68,60,61.6,NA,NA,NA,NA,rain,14:00,Empty,Empty,0,10,Cumulus,3,South,10,Nimbus,5,South,10,Nimbus,4,West,East,6,South,6,West,3,28.73,28.66,28.61,60,65,64,28.65,28.567,28.52,28.576,57,68,60,55.4,63.3,59.5,28.232,28.045,28.011,0.82,0.59,0.91,NA,NA,NA,NA,Rain commenced in the evening. At 7 P.M. Heavy thunder with forked lightning rose in the South West and proceeded north East continued thunder and lightning during the night,NA,NA,NA,NA
1870-05-18,49,62,46,52.3,NA,NA,NA,NA,rain,Empty,5:00,1.45,0,6,Cirro-cumulus,4,West,NA,NA,NA,NA,0,0,0,0,West,5,West,8,West,1,28.842,29.012,29.188,56,66,58,28.772,28.915,29.111,28.932,49,62,46,46,49,44,28.499,28.734,28.848,0.78,0.32,0.84,NA,NA,NA,NA,A beautiful aurora in the shape of a well defined arch in the north from 8 to 11 P.M.,NA,NA,NA,NA
1870-05-19,50,60,48,50.6,NA,NA,NA,NA,Empty,0,0,0,0,0,0,0,0,1,Cirrus,1,North-West,1,Stratus,0,0,West,4,North-West,3,North,3,29.344,29.41,29.536,53,59,55,29.28,29.331,29.466,29.359,50,60,42,43,48.7,39,29.092,29.135,29.266,0.51,0.36,0.74,NA,NA,NA,NA,Sky of a dark leaden color,NA,NA,NA,NA
1870-05-20,35,49,40,41.3,NA,NA,NA,NA,Empty,0,0,0,0,3,Cumulus,1,North,7,Cumulus,2,North-East,0,0,0,0,North-East,3,North-East,3,North-East,2,29.616,29.596,29.578,51,60,54,29.557,29.513,29.511,29.527,35,49,40,31,42,37,29.43,29.338,29.329,0.62,0.5,0.73,NA,NA,NA,NA,A small sprinkling of snow at 9 A.M. A beautiful aurora at 9 P.M. consisting of streamers all around the sky spreading from the zenith no corona.,NA,NA,NA,NA
1870-05-21,36,62,48,48.6,NA,NA,NA,NA,Empty,0,0,0,0,3,Cirrus,1,East,1,Cirrus,0,0,6,Nimbus,1,South,East,2,East,3,North-East,2,29.544,29.554,29.442,56,61,57,29.471,29.468,29.368,29.435,36,62,48,33.4,50.5,47,29.31,29.252,29.058,0.75,0.38,0.92,NA,NA,NA,NA,"Sky of a dull leaden color, cloudy towards evening",NA,NA,NA,NA
1870-05-22,46,48,44,46,NA,NA,NA,NA,rain,9:15,Empty,Empty,0,10,Nimbus,0,0,10,Nimbus,5,East,10,Nimbus,3,North,East,3,East,4,North,3,29.244,29.104,28.986,52,58,55,29.183,29.027,28.918,29.042,46,48,44,41.7,45.5,43,28.976,28.754,28.653,0.65,0.81,0.92,NA,NA,NA,NA,A drizzling Rain all day.,NA,NA,NA,NA
1870-05-23,44,59,54,52.3,NA,NA,NA,NA,rain,6:00,0,0.4,0,10,Nimbus,4,North,4,Cumulus,3,West,10,Nimbus,2,West,North,4,North,5,North-West,1,28.952,29.044,29.038,44,59,54,None,None,None,None,44,59,54,43.3,51.6,47,28.651,28.674,28.72,0.8,0.56,0.55,NA,NA,NA,NA,"Ceased raining this morning, dull cloudy day.",NA,NA,NA,NA
1870-05-24,53,66,49,56,NA,NA,NA,NA,Empty,0,0,0,0,1,Cirrus,1,West,10,Cumulus,1,West,2,Cirro-stratus,0,0,North,1,North,3,North-West,0,29.108,29.238,29.274,68,65,61,29.006,29.143,29.19,29.113,50,66,49,47,54.5,41.4,28.762,28.87,29.029,0.6,0.42,0.47,NA,NA,NA,NA,A few small auroral streamers in the north between 10 and 11 P.M.,NA,NA,NA,NA
1870-05-25,50,77,59,62,NA,NA,NA,NA,Empty,0,0,0,0,0,0,0,0,2,Cirrus,1,West,0,0,0,0,South,1,North-West,1,South-East,1,29.326,29.312,29.328,55,67,65,29.257,29.212,29.133,29.2,50,77,59,46,58.3,54.6,28.999,28.974,28.764,0.71,0.26,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870-05-26,56,76,53,61.6,NA,NA,NA,NA,Empty,0,0,0,0,0,0,0,0,2,Cirrus,1,West,1,Cirro-cumulus,0,0,South-East,1,North-West,1,South,5,29.318,29.208,29.166,61,73,66,29.234,29.093,29.069,29.132,66,76,53,51,56.4,48.6,28.926,28.988,28.785,0.69,0.44,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870-05-27,57,69,52,59.3,NA,NA,NA,NA,rain,5:00,7:00,0.05,0,5,Nimbus,1,North-West,3,Cirro-cumulus,1,West,1,Stratus,0,0,South-West,1,North-East,2,West,1,29.132,29.096,28.984,60,68,56,29.05,28.994,28.914,28.986,57,69,52,50,68.4,49.3,28.782,28.285,28.699,0.58,0.97,0.83,NA,NA,NA,NA,A very fine aurora this evening consisting of a splendid arch from NE to SW right through the zenith with streamers all over the northern half of the sky. Began at 9 o'clock ended at 11.,NA,NA,NA,NA
1870-05-28,62,83,70,71.6,NA,NA,NA,NA,Empty,0,0,0,0,2,Cirrus,0,0,3,Cirrus,1,South,1,Cumulus,1,West,South,1,South,3,South,6,28.898,28.776,28.766,57,62,59,28.825,28.691,28.688,28.734,62,83,70,56.4,68.5,66,28.443,28.189,28.102,0.69,0.44,0.8,NA,NA,NA,NA,A faint aurora in the north in  the shape of an arch 30 deg high at 9 P.M.,NA,NA,NA,NA
1870-05-29,73,87,63,74.2,NA,NA,NA,NA,rain,19:00,22:00,0.05,0,10,Cumulus,1,South,0,0,0,0,10,Cumulus,2,South,South,3,South,5,North-West,1,28.762,28.746,28.768,75,69,79,28.644,28.643,28.64,28.642,73,87,63,68.3,81,60.3,28.016,27.667,28.253,0.79,0.76,0.86,NA,NA,NA,NA,A thunder cloud rose in the SE 4 P.M. with distant thunder and lightning. Cloud were round to the West. Thunder and lightning very heavy at 10 P.M. Continued in the distance during the night,NA,NA,NA,NA
1870-05-30,67,66,60,64.3,NA,NA,NA,NA,rain,8:00,20:30,1.8,0,8,Cumulus,1,West,10,Nimbus,2,South-East,6,Cumulus,3,South,East,2,South-East,2,West,1,28.768,28.848,29.024,79,76,73,28.64,28.727,28.909,28.758,67,66,60,64,64.3,54,28.084,28.148,28.571,0.84,0.92,0.65,NA,NA,NA,NA,Thunder cloud in the west at 8 A.M. Continued thundering and lightning during the day in the distance. ended 4 P.M.,NA,NA,NA,NA
1870-05-31,70,76,72,72.6,NA,NA,NA,NA,rain,7:00,11:00,0.1,0,10,Cumulus,4,South,10,Nimbus,8,North,1,Cumulus,0,0,South,4,South,8,South,6,29.184,29.136,29.188,72,79,74,29.071,29.005,29.07,29.048,70,76,72,64.6,68.5,66.3,28.534,28.409,28.501,0.72,0.66,0.74,NA,NA,NA,NA,Showery in the forenoon a bright auroral arch in the north about 30 deg high with a dark cloud underneath commenced 8.30 P.M. ended 10 P.M.,"The crops such as wheat oats and barly are looking well so far, as I mentioned before there has been very little sown in the settlement this season on account of the farmers being afraid of the grasshoppers. But on examining the ground where the eggs had been deposited in different parts of the settlement it was found that a little worm something like a maggot has been destroying all the eggs. So effectual has their work been that there has not a young grasshopper made its appearance yet. So upon the whole we hope to have a little crop in the Settlement yet and will be enabled to avoid the calamity that befell us two years ago.",,,
1870-10-01,52,82,70,68,NA,NA,NA,NA,Empty,0,0,0,0,3,Cumulus,0,0,3,Cirrus,2,South-East,0,0,0,0,East,1,South-East,6,East,5,29.223,29.154,29.16,63,83,78,29.134,29.013,29.032,29.059,52,82,70,48.8,63.6,62,0.306,0.342,0.452,0.79,0.3,0.61,NA,NA,NA,NA,"Sky totally obscured by smoke during the day, at night the heavens lighted up the prairie fires which has been raging for the last three or four days",,,,
1870-10-02,60,66,54,60,NA,NA,NA,NA,Empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,North-West,4,West,4,West,4,29.057,29.228,29.272,62,71,62,28.97,29.118,29.185,29.091,60,66,54,52.6,56.7,50.3,0.301,0.341,0.317,0.59,0.53,0.79,NA,NA,NA,NA,"Dense smoke all day, the night almost as bright as day from the fires.",,,,
1870-10-03,46,52,42,46.6,NA,NA,NA,NA,Empty,0,0,0,0,10,Cumulus,3,North-West,8,Cumulus,3,North-West,8,Cumulus,1,North,North-West,6,North-West,6,North,1,29.39,29.581,29.692,55,68,64,29.321,29.477,29.598,29.465,46,52,42,42,46.3,39.6,0.216,0.24,0.212,0.69,0.62,0.78,NA,NA,NA,NA,Smoke somewhat cleared off by sky still very much obscured,NA,NA,NA,NA
