Station ID,8010,,Station,Latitude,Longitude,Elevation,Observer,Start,End,,,,,,,,,,,
Observer ID,65,,FortSimpson,47.56,-52.7,unknown,Anon,1849-10,1850-06,,,,,,,,,,,
,,,,,,,inHg,F,F,F,dir,tenth,mno,mno,mno,mno,mno,lct,mno,
,,,,,,,p,ta,tb,atb,dd,wf,wx,wx,wx,wx,wx,c ,wx,
,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Observer_ID,Station_ID,year,month,day,julian day,hour,Barometer Aneroid,Air Thermometer Spirit,Wet Thermometer Mercury,Air thermometer mercury,Wind direction 8AM,Wind force,Weather 1,Weather 2,Weather 3,Weather 4,Weather 5,cloud,Remarks ,Filename
65,8010,1849,11,9,313,12,27.41,14.7,-999.9,54,calm,0,missing,missing,missing,missing,missing,cirrus,missing,
65,8010,1849,11,9,313,13,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,14,27.45,12.5,-999.9,59,calm,0,clear,cloudy,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,15,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,16,27.48,11,-999.9,60,calm,0,cloudy,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,17,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,18,27.535,13,-999.9,59,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,19,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,20,27.525,12.5,-999.9,58.5,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,21,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,22,27.53,11,-999.9,56,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,10,314,8,27.53,0,-999.9,46,calm,0,clear,missing,missing,missing,missing,missing,Thermometer for the first time down to zero,
65,8010,1849,11,10,314,9,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,10,314,10,27.56,5,-999.9,52,calm,0,clear,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,10,314,11,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,10,314,12,27.53,9.5,-999.9,56,calm,0,clear,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,10,314,13,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,10,314,14,27.52,12,-999.9,52,calm,0,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,11,10,314,15,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,10,314,16,27.5,10.5,-999.9,48,S.E. by E,1,clear,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,10,314,17,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
